Rule,Support,Confidence,Lift,Item1,Item2,Item3,Consequent
rule840,0.082,0.508,1.283,cheeses, laundry detergent,,cereals
rule1062,0.085,0.508,1.283,cheeses, coffee/tea,,cereals
rule883,0.083,0.508,1.283,dinner rolls, mixes,,cereals
rule1011,0.084,0.508,1.283,fruits, beef,,cereals
rule826,0.082,0.508,1.283,milk, beef,,cereals
rule118,0.070,0.500,1.283,butter, pasta,,eggs
rule510,0.078,0.500,1.283,cereals, soda,,eggs
rule598,0.079,0.500,1.283,dinner rolls, ketchup,,eggs
rule421,0.076,0.500,1.283,dishwashing liquid/detergent, juice,,eggs
rule818,0.082,0.500,1.283,laundry detergent, soda,,eggs
rule538,0.078,0.500,1.283,milk, ketchup,,eggs
rule769,0.081,0.500,1.283,milk, soap,,eggs
rule252,0.074,0.500,1.283,mixes, soap,,eggs
rule778,0.081,0.500,1.283,pasta, cereals,,eggs
rule1166,0.089,0.500,1.283,waffles, soda,,eggs
rule1073,0.086,0.500,1.283,yogurt, cheeses,,eggs
rule529,0.078,0.511,1.283,cheeses, sugar,,ice cream
rule679,0.080,0.511,1.283,spaghetti sauce, aluminum foil,,ice cream
rule476,0.077,0.506,1.283,individual meals, toilet paper,,waffles
rule617,0.079,0.506,1.283,juice, soap,,waffles
rule367,0.076,0.506,1.283,sandwich bags, aluminum foil,,waffles
rule824,0.082,0.511,1.282,beef, aluminum foil,,ice cream
rule901,0.083,0.511,1.282,pasta, waffles,,ice cream
rule1176,0.089,0.540,1.282,dinner rolls, sugar,,poultry
rule996,0.084,0.505,1.282,lunch meat, coffee/tea,,waffles
rule972,0.083,0.511,1.281,cheeses, fruits,,ice cream
rule163,0.072,0.506,1.281,all- purpose, flour,,lunch meat
rule280,0.075,0.506,1.281,butter, individual meals,,lunch meat
rule949,0.083,0.540,1.281,dinner rolls, beef,,poultry
rule1198,0.090,0.540,1.281,milk, laundry detergent,,poultry
rule966,0.083,0.540,1.281,sugar, soap,,poultry
rule449,0.077,0.500,1.280,dinner rolls, flour,,cheeses
rule291,0.075,0.500,1.280,dishwashing liquid/detergent, butter,,cheeses
rule257,0.074,0.500,1.280,ice cream, tortillas,,cheeses
rule623,0.079,0.500,1.280,ice cream, sandwich loaves,,cheeses
rule84,0.068,0.500,1.280,sandwich loaves, sugar,,cheeses
rule715,0.081,0.500,1.280,yogurt, beef,,cheeses
rule564,0.079,0.506,1.280,coffee/tea, juice,,lunch meat
rule503,0.078,0.506,1.280,paper towels, individual meals,,lunch meat
rule425,0.077,0.506,1.280,yogurt, tortillas,,lunch meat
rule143,0.071,0.500,1.280,coffee/tea, sugar,,soda
rule746,0.081,0.500,1.280,dishwashing liquid/detergent, pasta,,soda
rule1139,0.088,0.500,1.280,dishwashing liquid/detergent, waffles,,soda
rule817,0.082,0.500,1.280,eggs, laundry detergent,,soda
rule76,0.068,0.500,1.280,flour, beef,,soda
rule135,0.071,0.500,1.280,flour, individual meals,,soda
rule162,0.072,0.500,1.280,individual meals, sandwich bags,,soda
rule819,0.082,0.500,1.280,milk, toilet paper,,soda
rule509,0.078,0.500,1.280,paper towels, waffles,,soda
rule67,0.067,0.500,1.280,pasta, pork,,soda
rule579,0.079,0.500,1.280,spaghetti sauce, milk,,soda
rule666,0.080,0.500,1.280,spaghetti sauce, pasta,,soda
rule1203,0.090,0.510,1.279,waffles, soda,,ice cream
rule990,0.084,0.505,1.279,dishwashing liquid/detergent, soda,,lunch meat
rule926,0.083,0.505,1.279,ice cream, coffee/tea,,lunch meat
rule251,0.074,0.506,1.278,shampoo, dishwashing liquid/detergent,,cereals
rule1160,0.089,0.505,1.278,dishwashing liquid/detergent, waffles,,lunch meat
rule659,0.080,0.538,1.278,cheeses, all- purpose,,poultry
rule1230,0.092,0.538,1.278,dinner rolls, cereals,,poultry
rule700,0.080,0.538,1.278,fruits, soap,,poultry
rule693,0.080,0.538,1.278,mixes, coffee/tea,,poultry
rule750,0.081,0.505,1.277,cheeses, beef,,cereals
rule570,0.079,0.506,1.277,paper towels, all- purpose,,cereals
rule603,0.079,0.506,1.277,shampoo, mixes,,cereals
rule256,0.074,0.509,1.277,cheeses, tortillas,,ice cream
rule281,0.075,0.509,1.277,sandwich loaves, lunch meat,,ice cream
rule83,0.068,0.503,1.277,fruits, juice,,waffles
rule166,0.072,0.503,1.276,lunch meat, ketchup,,waffles
rule888,0.083,0.505,1.276,cheeses, mixes,,cereals
rule413,0.076,0.509,1.276,cheeses, juice,,ice cream
rule622,0.079,0.508,1.276,cheeses, sandwich loaves,,ice cream
rule6,0.050,0.538,1.276,yogurt, juice, aluminum foil,poultry
rule335,0.076,0.503,1.276,dinner rolls, toilet paper,,waffles
rule97,0.069,0.503,1.276,flour, juice,,waffles
rule165,0.072,0.503,1.276,hand soap, lunch meat,,waffles
rule269,0.075,0.503,1.276,pork, soda,,waffles
rule652,0.080,0.508,1.275,laundry detergent, lunch meat,,ice cream
rule774,0.081,0.508,1.275,paper towels, poultry,,ice cream
rule974,0.083,0.508,1.275,paper towels, cereals,,ice cream
rule1171,0.089,0.537,1.275,dishwashing liquid/detergent, dinner rolls,,poultry
rule903,0.083,0.503,1.275,coffee/tea, ketchup,,waffles
rule897,0.083,0.503,1.275,soap, ketchup,,waffles
rule866,0.083,0.503,1.275,toilet paper, lunch meat,,waffles
rule1147,0.088,0.508,1.274,cheeses, waffles,,ice cream
rule75,0.068,0.503,1.274,shampoo, tortillas,,lunch meat
rule111,0.070,0.503,1.274,shampoo, spaghetti sauce,,lunch meat
rule956,0.083,0.537,1.274,dinner rolls, bagels,,poultry
rule970,0.083,0.537,1.274,laundry detergent, juice,,poultry
rule1164,0.089,0.508,1.273,soda, soap,,ice cream
rule132,0.071,0.503,1.273,fruits, tortillas,,lunch meat
rule164,0.072,0.503,1.273,hand soap, waffles,,lunch meat
rule651,0.080,0.503,1.273,ice cream, laundry detergent,,lunch meat
rule374,0.076,0.503,1.273,laundry detergent, individual meals,,lunch meat
rule200,0.073,0.503,1.273,milk, individual meals,,lunch meat
rule1000,0.084,0.503,1.272,dishwashing liquid/detergent, fruits,,lunch meat
rule1034,0.085,0.503,1.272,dishwashing liquid/detergent, cereals,,lunch meat
rule1108,0.087,0.503,1.272,ice cream, waffles,,lunch meat
rule422,0.076,0.503,1.270,bagels, coffee/tea,,cereals
rule206,0.073,0.503,1.270,beef, mixes,,cereals
rule455,0.077,0.503,1.270,shampoo, beef,,cereals
rule221,0.073,0.503,1.270,spaghetti sauce, coffee/tea,,cereals
rule178,0.072,0.506,1.270,sandwich loaves, beef,,ice cream
rule235,0.074,0.535,1.270,sandwich loaves, sandwich bags,,poultry
rule414,0.076,0.506,1.269,pasta, milk,,ice cream
rule66,0.066,0.500,1.268,dishwashing liquid/detergent, sandwich loaves,,waffles
rule1109,0.087,0.500,1.268,ice cream, lunch meat,,waffles
rule814,0.082,0.500,1.268,laundry detergent, soda,,waffles
rule995,0.084,0.500,1.268,spaghetti sauce, lunch meat,,waffles
rule530,0.078,0.500,1.268,toilet paper, coffee/tea,,waffles
rule1224,0.091,0.505,1.267,poultry, cheeses,,ice cream
rule440,0.077,0.500,1.266,butter, toilet paper,,lunch meat
rule375,0.076,0.500,1.266,dishwashing liquid/detergent, toilet paper,,lunch meat
rule377,0.076,0.500,1.266,dishwashing liquid/detergent, juice,,lunch meat
rule327,0.076,0.500,1.266,flour, soap,,lunch meat
rule112,0.070,0.500,1.266,milk, sugar,,lunch meat
rule131,0.071,0.500,1.266,paper towels, tortillas,,lunch meat
rule1183,0.090,0.500,1.266,poultry, sugar,,lunch meat
rule279,0.075,0.500,1.266,spaghetti sauce, all- purpose,,lunch meat
rule562,0.079,0.500,1.266,spaghetti sauce, individual meals,,lunch meat
rule237,0.074,0.500,1.266,tortillas, sugar,,lunch meat
rule1215,0.090,0.534,1.266,dishwashing liquid/detergent, cereals,,poultry
rule989,0.084,0.533,1.266,milk, sandwich bags,,poultry
rule1016,0.084,0.533,1.266,shampoo, cheeses,,poultry
rule707,0.080,0.500,1.263,cheeses, pasta,,cereals
rule884,0.083,0.500,1.263,dinner rolls, laundry detergent,,cereals
rule930,0.083,0.500,1.263,lunch meat, coffee/tea,,cereals
rule175,0.072,0.500,1.263,paper towels, butter,,cereals
rule544,0.078,0.500,1.263,paper towels, spaghetti sauce,,cereals
rule338,0.076,0.500,1.263,shampoo, soap,,cereals
rule532,0.078,0.500,1.263,toilet paper, coffee/tea,,cereals
rule716,0.081,0.500,1.263,yogurt, beef,,cereals
rule1111,0.087,0.532,1.263,all- purpose, soap,,poultry
rule123,0.070,0.503,1.262,paper towels, sandwich loaves,,ice cream
rule153,0.071,0.503,1.262,paper towels, sugar,,ice cream
rule213,0.073,0.503,1.262,sandwich loaves, bagels,,ice cream
rule653,0.080,0.503,1.261,eggs, lunch meat,,ice cream
rule1051,0.085,0.503,1.261,eggs, pasta,,ice cream
rule754,0.081,0.503,1.261,milk, aluminum foil,,ice cream
rule513,0.078,0.503,1.261,paper towels, beef,,ice cream
rule641,0.080,0.503,1.261,sandwich bags, soap,,ice cream
rule312,0.075,0.531,1.261,milk, sugar,,poultry
rule837,0.082,0.531,1.261,shampoo, laundry detergent,,poultry
rule862,0.083,0.531,1.260,mixes, sandwich bags,,poultry
rule504,0.078,0.530,1.257,butter, all- purpose,,poultry
rule526,0.078,0.530,1.257,mixes, juice,,poultry
rule566,0.079,0.529,1.256,all- purpose, soda,,poultry
rule597,0.079,0.529,1.256,dinner rolls, individual meals,,poultry
rule614,0.079,0.529,1.256,individual meals, mixes,,poultry
rule157,0.071,0.529,1.256,sandwich loaves, milk,,poultry
rule710,0.080,0.529,1.255,bagels, sugar,,poultry
rule731,0.081,0.529,1.255,dinner rolls, sandwich bags,,poultry
rule1170,0.089,0.529,1.255,dinner rolls, cheeses,,poultry
rule772,0.081,0.500,1.254,dishwashing liquid/detergent, pasta,,ice cream
rule927,0.083,0.500,1.254,lunch meat, coffee/tea,,ice cream
rule95,0.069,0.500,1.254,paper towels, flour,,ice cream
rule704,0.080,0.500,1.254,sandwich loaves, individual meals,,ice cream
rule742,0.081,0.500,1.254,soda, aluminum foil,,ice cream
rule812,0.082,0.528,1.254,dinner rolls, flour,,poultry
rule1193,0.090,0.528,1.254,shampoo, dinner rolls,,poultry
rule900,0.083,0.528,1.253,juice, soap,,poultry
rule1008,0.084,0.527,1.252,butter, cheeses,,poultry
rule965,0.083,0.528,1.252,sandwich loaves, soap,,poultry
rule1009,0.084,0.527,1.252,beef, aluminum foil,,poultry
rule363,0.076,0.527,1.251,pork, soap,,poultry
rule1239,0.095,0.527,1.250,dishwashing liquid/detergent, mixes,,poultry
rule1082,0.086,0.527,1.250,fruits, lunch meat,,poultry
rule543,0.078,0.527,1.250,individual meals, sugar,,poultry
rule88,0.069,0.527,1.250,pork, sugar,,poultry
rule443,0.077,0.527,1.250,sandwich loaves, lunch meat,,poultry
rule605,0.079,0.526,1.249,shampoo, ice cream,,poultry
rule1130,0.088,0.526,1.249,yogurt, dinner rolls,,poultry
rule658,0.080,0.526,1.248,all- purpose, mixes,,poultry
rule1206,0.090,0.526,1.247,mixes, aluminum foil,,poultry
rule875,0.083,0.525,1.246,beef, toilet paper,,poultry
rule1220,0.091,0.525,1.246,eggs, dinner rolls,,poultry
rule296,0.075,0.525,1.245,aluminum foil, sugar,,poultry
rule317,0.075,0.525,1.245,coffee/tea, sugar,,poultry
rule999,0.084,0.525,1.245,milk, lunch meat,,poultry
rule385,0.076,0.524,1.244,all- purpose, sugar,,poultry
rule411,0.076,0.524,1.244,bagels, soap,,poultry
rule394,0.076,0.524,1.244,shampoo, butter,,poultry
rule462,0.077,0.524,1.243,dinner rolls, fruits,,poultry
rule1131,0.088,0.524,1.242,yogurt, milk,,poultry
rule636,0.080,0.523,1.241,dishwashing liquid/detergent, pork,,poultry
rule125,0.070,0.523,1.241,eggs, sandwich loaves,,poultry
rule847,0.082,0.522,1.240,cheeses, milk,,poultry
rule855,0.082,0.522,1.240,coffee/tea, juice,,poultry
rule864,0.083,0.522,1.239,cereals, sandwich bags,,poultry
rule963,0.083,0.522,1.239,dishwashing liquid/detergent, soap,,poultry
rule184,0.072,0.522,1.239,shampoo, hand soap,,poultry
rule1049,0.085,0.522,1.237,dishwashing liquid/detergent, laundry detergent,,poultry
rule1096,0.086,0.521,1.237,ice cream, milk,,poultry
rule644,0.080,0.520,1.234,dishwashing liquid/detergent, sandwich bags,,poultry
rule827,0.082,0.520,1.233,dishwashing liquid/detergent, beef,,poultry
rule845,0.082,0.520,1.233,ice cream, sugar,,poultry
rule803,0.082,0.520,1.233,laundry detergent, lunch meat,,poultry
rule889,0.083,0.519,1.232,milk, mixes,,poultry
rule1048,0.085,0.519,1.231,toilet paper, soap,,poultry
rule286,0.075,0.518,1.230,flour, sugar,,poultry
rule1084,0.086,0.519,1.230,fruits, beef,,poultry
rule239,0.074,0.519,1.230,pasta, lunch meat,,poultry
rule626,0.079,0.517,1.227,cheeses, sugar,,poultry
rule694,0.080,0.517,1.227,laundry detergent, soap,,poultry
rule865,0.083,0.516,1.226,all- purpose, lunch meat,,poultry
rule932,0.083,0.516,1.225,lunch meat, juice,,poultry
rule969,0.083,0.516,1.225,spaghetti sauce, laundry detergent,,poultry
rule139,0.071,0.516,1.224,flour, juice,,poultry
rule192,0.073,0.516,1.223,individual meals, pork,,poultry
rule238,0.074,0.515,1.223,lunch meat, ketchup,,poultry
rule1182,0.090,0.515,1.222,dishwashing liquid/detergent, lunch meat,,poultry
rule316,0.075,0.515,1.222,sandwich loaves, juice,,poultry
rule461,0.077,0.515,1.221,dinner rolls, toilet paper,,poultry
rule572,0.079,0.514,1.220,all- purpose, juice,,poultry
rule612,0.079,0.514,1.220,ice cream, mixes,,poultry
rule684,0.080,0.514,1.220,paper towels, dinner rolls,,poultry
rule711,0.080,0.514,1.220,pasta, coffee/tea,,poultry
rule962,0.083,0.514,1.219,cheeses, soap,,poultry
rule807,0.082,0.514,1.219,eggs, lunch meat,,poultry
rule876,0.083,0.514,1.219,milk, beef,,poultry
rule800,0.082,0.514,1.219,sandwich bags, soap,,poultry
rule946,0.083,0.514,1.219,soda, sugar,,poultry
rule899,0.083,0.514,1.219,spaghetti sauce, soap,,poultry
rule788,0.082,0.514,1.219,yogurt, sugar,,poultry
rule1101,0.086,0.513,1.218,cheeses, toilet paper,,poultry
rule1041,0.085,0.513,1.218,dinner rolls, aluminum foil,,poultry
rule1071,0.086,0.513,1.218,yogurt, all- purpose,,poultry
rule1212,0.090,0.512,1.216,ice cream, aluminum foil,,poultry
rule218,0.073,0.512,1.216,individual meals, ketchup,,poultry
rule531,0.078,0.511,1.214,individual meals, toilet paper,,poultry
rule494,0.078,0.511,1.214,lunch meat, sandwich bags,,poultry
rule825,0.082,0.511,1.213,beef, soap,,poultry
rule761,0.081,0.511,1.213,dinner rolls, tortillas,,poultry
rule662,0.080,0.511,1.213,paper towels, all- purpose,,poultry
rule801,0.082,0.511,1.213,shampoo, lunch meat,,poultry
rule724,0.081,0.511,1.213,yogurt, dishwashing liquid/detergent,,poultry
rule959,0.083,0.511,1.212,cheeses, mixes,,poultry
rule1050,0.085,0.511,1.211,eggs, ice cream,,poultry
rule1226,0.091,0.510,1.210,ice cream, cheeses,,poultry
rule1177,0.089,0.510,1.210,milk, cereals,,poultry
rule134,0.071,0.509,1.209,all- purpose, individual meals,,poultry
rule144,0.071,0.509,1.209,butter, milk,,poultry
rule156,0.071,0.509,1.209,hand soap, coffee/tea,,poultry
rule283,0.075,0.509,1.208,all- purpose, coffee/tea,,poultry
rule325,0.076,0.509,1.208,coffee/tea, pork,,poultry
rule313,0.075,0.509,1.208,dishwashing liquid/detergent, spaghetti sauce,,poultry
rule311,0.075,0.509,1.208,fruits, milk,,poultry
rule270,0.075,0.509,1.208,pork, aluminum foil,,poultry
rule260,0.074,0.509,1.208,spaghetti sauce, hand soap,,poultry
rule587,0.079,0.508,1.207,beef, juice,,poultry
rule453,0.077,0.509,1.207,butter, dinner rolls,,poultry
rule450,0.077,0.509,1.207,flour, coffee/tea,,poultry
rule471,0.077,0.509,1.207,hand soap, mixes,,poultry
rule481,0.077,0.509,1.207,milk, coffee/tea,,poultry
rule512,0.078,0.509,1.207,shampoo, beef,,poultry
rule423,0.076,0.509,1.207,spaghetti sauce, sandwich loaves,,poultry
rule581,0.079,0.508,1.207,tortillas, soda,,poultry
rule898,0.083,0.508,1.206,cereals, soap,,poultry
rule831,0.082,0.508,1.206,milk, aluminum foil,,poultry
rule773,0.081,0.508,1.206,spaghetti sauce, ice cream,,poultry
rule787,0.082,0.508,1.206,yogurt, coffee/tea,,poultry
rule1063,0.085,0.508,1.205,cheeses, coffee/tea,,poultry
rule1129,0.087,0.508,1.205,dishwashing liquid/detergent, eggs,,poultry
rule1066,0.085,0.508,1.205,dishwashing liquid/detergent, fruits,,poultry
rule60,0.065,0.507,1.203,fruits, pork,,poultry
rule71,0.067,0.507,1.202,sandwich bags, sugar,,poultry
rule168,0.072,0.506,1.201,all- purpose, flour,,poultry
rule292,0.075,0.506,1.201,butter, juice,,poultry
rule151,0.071,0.506,1.201,shampoo, fruits,,poultry
rule650,0.080,0.506,1.200,beef, lunch meat,,poultry
rule627,0.079,0.506,1.200,cereals, sugar,,poultry
rule479,0.077,0.506,1.200,dishwashing liquid/detergent, toilet paper,,poultry
rule343,0.076,0.506,1.200,fruits, mixes,,poultry
rule604,0.079,0.506,1.200,shampoo, mixes,,poultry
rule708,0.080,0.506,1.200,spaghetti sauce, individual meals,,poultry
rule1102,0.086,0.505,1.199,dishwashing liquid/detergent, milk,,poultry
rule735,0.081,0.505,1.199,lunch meat, soda,,poultry
rule839,0.082,0.505,1.199,milk, soap,,poultry
rule849,0.082,0.505,1.199,paper towels, milk,,poultry
rule777,0.081,0.505,1.199,sandwich loaves, individual meals,,poultry
rule1094,0.086,0.505,1.199,shampoo, juice,,poultry
rule99,0.069,0.503,1.194,butter, sugar,,poultry
rule176,0.072,0.503,1.194,butter, ketchup,,poultry
rule236,0.074,0.503,1.194,juice, sandwich bags,,poultry
rule122,0.070,0.503,1.194,shampoo, spaghetti sauce,,poultry
rule333,0.076,0.503,1.193,butter, cereals,,poultry
rule892,0.083,0.503,1.193,bagels, mixes,,poultry
rule953,0.083,0.503,1.193,cereals, aluminum foil,,poultry
rule542,0.078,0.503,1.193,dishwashing liquid/detergent, ketchup,,poultry
rule709,0.080,0.503,1.193,eggs, tortillas,,poultry
rule332,0.076,0.503,1.193,fruits, soda,,poultry
rule701,0.080,0.503,1.193,ice cream, laundry detergent,,poultry
rule412,0.076,0.503,1.193,laundry detergent, individual meals,,poultry
rule736,0.081,0.503,1.193,lunch meat, aluminum foil,,poultry
rule493,0.078,0.503,1.193,mixes, pork,,poultry
rule485,0.077,0.503,1.193,paper towels, coffee/tea,,poultry
rule674,0.080,0.503,1.193,shampoo, aluminum foil,,poultry
rule867,0.083,0.503,1.193,toilet paper, lunch meat,,poultry
rule304,0.075,0.503,1.193,tortillas, soap,,poultry
rule552,0.079,0.503,1.193,yogurt, flour,,poultry
rule1124,0.087,0.503,1.192,dinner rolls, pasta,,poultry
rule1138,0.088,0.503,1.192,soda, soap,,poultry
rule1156,0.089,0.502,1.192,yogurt, juice,,poultry
rule1246,0.195,0.501,1.189,dinner rolls,,,poultry
rule660,0.080,0.500,1.186,all- purpose, pasta,,poultry
rule106,0.069,0.500,1.186,cheeses, hand soap,,poultry
rule105,0.069,0.500,1.186,fruits, toilet paper,,poultry
rule104,0.069,0.500,1.186,hand soap, toilet paper,,poultry
rule107,0.069,0.500,1.186,hand soap, ketchup,,poultry
rule960,0.083,0.500,1.186,ice cream, soap,,poultry
rule268,0.075,0.500,1.186,lunch meat, pork,,poultry
rule891,0.083,0.500,1.186,mixes, ketchup,,poultry
rule68,0.067,0.500,1.186,pasta, pork,,poultry
rule254,0.074,0.500,1.186,sandwich loaves, mixes,,poultry
rule406,0.076,0.500,1.186,shampoo, coffee/tea,,poultry
rule906,0.083,0.500,1.186,spaghetti sauce, cheeses,,poultry
rule109,0.069,0.500,1.186,sugar, ketchup,,poultry
rule231,0.074,0.500,1.186,tortillas, pork,,poultry
rule484,0.077,0.500,1.186,tortillas, coffee/tea,,poultry
rule706,0.080,0.500,1.186,waffles, sugar,,poultry
